Nome Parlamentar;Partido;UF;Titular/Suplente/Efetivado;Endereço;Anexo;Endereço (continuação);Gabinete;Endereço (complemento);Telefone;Fax;Mês Aniversário;Dia Aniversário;Correio Eletrônico;Nome sem Acento;Tratamento;Nome Civil
Felipe Francischini;UNIÃO;PR;T;Câmara dos Deputados, Edifício Anexo;3;, gabinete nº;265;Brasília - DF - CEP 70160-900;3215-5265;3215-2265;10;02;dep.felipefrancischini@camara.leg.br;Felipe Francischini;Exmo. Senhor Deputado;LUIS FELIPE BONATTO FRANCISCHINI
Félix Mendonça Júnior;PDT;BA;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;912;Brasília - DF - CEP 70160-900;3215-5912;3215-2912;11;29;dep.felixmendoncajunior@camara.leg.br;Felix Mendonca Junior;Exmo. Senhor Deputado;FELIX DE ALMEIDA MENDONÇA JÚNIOR
Fernanda Melchionna;PSOL;RS;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;621;Brasília - DF - CEP 70160-900;3215-5621;3215-2621;02;02;dep.fernandamelchionna@camara.leg.br;Fernanda Melchionna;Exma. Senhora Deputada;FERNANDA MELCHIONNA E SILVA
Fernanda Pessoa;UNIÃO;CE;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;209;Brasília - DF - CEP 70160-900;3215-5209;3215-2209;06;08;dep.fernandapessoa@camara.leg.br;Fernanda Pessoa;Exma. Senhora Deputada;FERNANDA ENEIDA PESSOA CARACAS DE SOUZA
Fernando Coelho Filho;UNIÃO;PE;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;662;Brasília - DF - CEP 70160-900;3215-5662;3215-2662;02;28;dep.fernandocoelhofilho@camara.leg.br;Fernando Coelho Filho;Exmo. Senhor Deputado;FERNANDO BEZERRA DE SOUZA COELHO FILHO
Fernando Mineiro;PT;RN;T;Câmara dos Deputados, Edifício Anexo;3;, gabinete nº;987;Brasília - DF - CEP 70160-900;3215-5987;3215-2987;12;06;dep.fernandomineiro@camara.leg.br;Fernando Mineiro;Exmo. Senhor Deputado;FERNANDO WANDERLEY VARGAS DA SILVA
Fernando Monteiro;PP;PE;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;243;Brasília - DF - CEP 70160-900;3215-5243;3215-2243;09;17;dep.fernandomonteiro@camara.leg.br;Fernando Monteiro;Exmo. Senhor Deputado;FERNANDO MONTEIRO DE ALBUQUERQUE
Fernando Rodolfo;PL;PE;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;554;Brasília - DF - CEP 70160-900;3215-5554;3215-2554;11;17;dep.fernandorodolfo@camara.leg.br;Fernando Rodolfo;Exmo. Senhor Deputado;FERNANDO RODOLFO TENORIO DE VASCONCELOS
Filipe Barros;PL;PR;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;745;Brasília - DF - CEP 70160-900;3215-5745;3215-2745;05;29;dep.filipebarros@camara.leg.br;Filipe Barros;Exmo. Senhor Deputado;FILIPE BARROS BAPTISTA DE TOLEDO RIBEIRO
Filipe Martins;PL;TO;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;517;Brasília - DF - CEP 70160-900;3215-5517;3215-2517;04;01;dep.filipemartins@camara.leg.br;Filipe Martins;Exmo. Senhor Deputado;FILIPE MARTINS DOS SANTOS
Flávia Morais;PDT;GO;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;738;Brasília - DF - CEP 70160-900;3215-5738;3215-2738;04;26;dep.flaviamorais@camara.leg.br;Flavia Morais;Exma. Senhora Deputada;FLÁVIA CARREIRO ALBUQUERQUE MORAIS
Flávio Nogueira;PT;PI;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;811;Brasília - DF - CEP 70160-900;3215-5811;3215-2811;02;27;dep.flavionogueira@camara.leg.br;Flavio Nogueira;Exmo. Senhor Deputado;FLÁVIO RODRIGUES NOGUEIRA
Florentino Neto;PT;PI;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;440;Brasília - DF - CEP 70160-900;3215-5440;3215-2440;10;05;dep.florentinoneto@camara.leg.br;Florentino Neto;Exmo. Senhor Deputado;FLORENTINO ALVES VERAS NETO
Franciane Bayer;REPUBLICANOS;RS;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;538;Brasília - DF - CEP 70160-900;3215-5538;3215-2538;10;09;dep.francianebayer@camara.leg.br;Franciane Bayer;Exma. Senhora Deputada;FRANCIANE ABADE BAYER MULLER
Fred Costa;PRD;MG;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;633;Brasília - DF - CEP 70160-900;3215-5633;3215-2633;07;12;dep.fredcosta@camara.leg.br;Fred Costa;Exmo. Senhor Deputado;FREDERICO BORGES DA COSTA
Fred Linhares;REPUBLICANOS;DF;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;825;Brasília - DF - CEP 70160-900;3215-5825;3215-2825;01;26;dep.fredlinhares@camara.leg.br;Fred Linhares;Exmo. Senhor Deputado;DAVYS FREDERICO TEIXEIRA LINHARES
Gabriel Mota;REPUBLICANOS;RR;E;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;535;Brasília - DF - CEP 70160-900;3215-5535;3215-2535;12;24;dep.gabrielmota@camara.leg.br;Gabriel Mota;Exmo. Senhor Deputado;GABRIEL MOTA E SILVA
Gabriel Nunes;PSD;BA;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;732;Brasília - DF - CEP 70160-900;3215-5732;3215-2732;07;23;dep.gabrielnunes@camara.leg.br;Gabriel Nunes;Exmo. Senhor Deputado;GABRIEL JOSE MOURA NUNES SOARES
General Girão;PL;RN;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;914;Brasília - DF - CEP 70160-900;3215-5914;3215-2914;05;08;dep.generalgirao@camara.leg.br;General Girao;Exmo. Senhor Deputado;ELIÉSER GIRÃO MONTEIRO FILHO
General Pazuello;PL;RJ;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;919;Brasília - DF - CEP 70160-900;3215-5919;3215-2919;07;19;dep.generalpazuello@camara.leg.br;General Pazuello;Exmo. Senhor Deputado;EDUARDO PAZUELLO
Geovania de Sá;PSDB;SC;E;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;418;Brasília - DF - CEP 70160-900;3215-5418;3215-2418;03;30;dep.geovaniadesa@camara.leg.br;Geovania de Sa;Exma. Senhora Deputada;Geovânia de Sá
Geraldo Mendes;UNIÃO;PR;T;Câmara dos Deputados, Edifício Anexo;3;, gabinete nº;123;Brasília - DF - CEP 70160-900;3215-5123;3215-2123;12;05;dep.geraldomendes@camara.leg.br;Geraldo Mendes;Exmo. Senhor Deputado;GERALDO GABRIEL MENDES
Geraldo Resende;PSDB;MS;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;304;Brasília - DF - CEP 70160-900;3215-5304;3215-2304;04;20;dep.geraldoresende@camara.leg.br;Geraldo Resende;Exmo. Senhor Deputado;GERALDO RESENDE PEREIRA
Gervásio Maia;PSB;PB;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;308;Brasília - DF - CEP 70160-900;3215-5308;3215-2308;04;14;dep.gervasiomaia@camara.leg.br;Gervasio Maia;Exmo. Senhor Deputado;GERVÁSIO AGRIPINO MAIA
Giacobo;PL;PR;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;629;Brasília - DF - CEP 70160-900;3215-5629;3215-2629;12;17;dep.giacobo@camara.leg.br;Giacobo;Exmo. Senhor Deputado;FERNANDO LÚCIO GIACOBO
Gilberto Abramo;REPUBLICANOS;MG;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;601;Brasília - DF - CEP 70160-900;3215-5601;3215-2601;08;06;dep.gilbertoabramo@camara.leg.br;Gilberto Abramo;Exmo. Senhor Deputado;GILBERTO APARECIDO ABRAMO
Gilberto Nascimento;PSD;SP;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;836;Brasília - DF - CEP 70160-900;3215-5836;3215-2836;07;09;dep.gilbertonascimento@camara.leg.br;Gilberto Nascimento;Exmo. Senhor Deputado;GILBERTO NASCIMENTO SILVA
Gilson Daniel;PODE;ES;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;433;Brasília - DF - CEP 70160-900;3215-5433;3215-2433;07;17;dep.gilsondaniel@camara.leg.br;Gilson Daniel;Exmo. Senhor Deputado;GILSON DANIEL BATISTA
Gilson Marques;NOVO;SC;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;431;Brasília - DF - CEP 70160-900;3215-5431;3215-2431;04;12;dep.gilsonmarques@camara.leg.br;Gilson Marques;Exmo. Senhor Deputado;GILSON MARQUES VIEIRA
Gilvan da Federal;PL;ES;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;650;Brasília - DF - CEP 70160-900;3215-5650;3215-2650;09;24;dep.gilvandafederal@camara.leg.br;Gilvan da Federal;Exmo. Senhor Deputado;GILVAN AGUIAR COSTA
Gilvan Maximo;REPUBLICANOS;DF;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;403;Brasília - DF - CEP 70160-900;3215-5403;3215-2403;05;10;dep.gilvanmaximo@camara.leg.br;Gilvan Maximo;Exmo. Senhor Deputado;GILVAM MAXIMO
Giovani Cherini;PL;RS;T;Câmara dos Deputados, Edifício Anexo;3;, gabinete nº;872;Brasília - DF - CEP 70160-900;3215-5872;3215-2872;06;23;dep.giovanicherini@camara.leg.br;Giovani Cherini;Exmo. Senhor Deputado;GIOVANI CHERINI
Gisela Simona;UNIÃO;MT;S;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;602;Brasília - DF - CEP 70160-900;3215-5602;3215-2602;04;28;dep.giselasimona@camara.leg.br;Gisela Simona;Exma. Senhora Deputada;GISELA SIMONA VIANA DE SOUZA
Glauber Braga;PSOL;RJ;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;362;Brasília - DF - CEP 70160-900;3215-5362;3215-2362;06;26;dep.glauberbraga@camara.leg.br;Glauber Braga;Exmo. Senhor Deputado;GLAUBER DE MEDEIROS BRAGA
Glaustin da Fokus;PODE;GO;T;Câmara dos Deputados, Edifício Anexo;3;, gabinete nº;295;Brasília - DF - CEP 70160-900;3215-5295;3215-2295;12;22;dep.glaustindafokus@camara.leg.br;Glaustin da Fokus;Exmo. Senhor Deputado;GLAUSKSTON BATISTA RIOS
Gleisi Hoffmann;PT;PR;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;232;Brasília - DF - CEP 70160-900;3215-5232;3215-2232;09;06;dep.gleisihoffmann@camara.leg.br;Gleisi Hoffmann;Exma. Senhora Deputada;GLEISI HELENA HOFFMANN
Greyce Elias;AVANTE;MG;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;340;Brasília - DF - CEP 70160-900;3215-5340;3215-2340;12;15;dep.greyceelias@camara.leg.br;Greyce Elias;Exma. Senhora Deputada;GREYCE DE QUEIROZ ELIAS
Guilherme Boulos;PSOL;SP;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;935;Brasília - DF - CEP 70160-900;3215-5935;3215-2935;06;19;dep.guilhermeboulos@camara.leg.br;Guilherme Boulos;Exmo. Senhor Deputado;GUILHERME CASTRO BOULOS
Guilherme Uchoa;PSB;PE;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;430;Brasília - DF - CEP 70160-900;3215-5430;3215-2430;04;27;dep.guilhermeuchoa@camara.leg.br;Guilherme Uchoa;Exmo. Senhor Deputado;GUILHERME A. UCHOA CAVALCANTI PESSOA DE MELO JUNIOR
Gustavo Gayer;PL;GO;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;737;Brasília - DF - CEP 70160-900;3215-5737;3215-2737;04;13;dep.gustavogayer@camara.leg.br;Gustavo Gayer;Exmo. Senhor Deputado;GUSTAVO GAYER MACHADO DE ARAUJO
Gustinho Ribeiro;REPUBLICANOS;SE;T;Câmara dos Deputados, Edifício Anexo;3;, gabinete nº;784;Brasília - DF - CEP 70160-900;3215-5784;3215-2784;02;16;dep.gustinhoribeiro@camara.leg.br;Gustinho Ribeiro;Exmo. Senhor Deputado;LUIZ AUGUSTO CARVALHO RIBEIRO FILHO
Gutemberg Reis;MDB;RJ;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;856;Brasília - DF - CEP 70160-900;3215-5856;3215-2856;09;09;dep.gutembergreis@camara.leg.br;Gutemberg Reis;Exmo. Senhor Deputado;GUTEMBERG REIS DE OLIVEIRA
Heitor Schuch;PSB;RS;T;Câmara dos Deputados, Edifício Anexo;3;, gabinete nº;680;Brasília - DF - CEP 70160-900;3215-5680;3215-2680;03;25;dep.heitorschuch@camara.leg.br;Heitor Schuch;Exmo. Senhor Deputado;HEITOR JOSE SCHUCH
Helder Salomão;PT;ES;T;Câmara dos Deputados, Edifício Anexo;3;, gabinete nº;679;Brasília - DF - CEP 70160-900;3215-5679;3215-2679;03;08;dep.heldersalomao@camara.leg.br;Helder Salomao;Exmo. Senhor Deputado;HELDER IGNACIO SALOMAO
Helena Lima;MDB;RR;T;Câmara dos Deputados, Edifício Anexo;3;, gabinete nº;117;Brasília - DF - CEP 70160-900;3215-5117;3215-2117;03;30;dep.helenalima@camara.leg.br;Helena Lima;Exma. Senhora Deputada;MARIA HELENA TEIXEIRA LIMA
Helio Lopes;PL;RJ;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;405;Brasília - DF - CEP 70160-900;3215-5405;3215-2405;03;28;dep.heliolopes@camara.leg.br;Helio Lopes;Exmo. Senhor Deputado;HELIO FERNANDO BARBOSA LOPES
Henderson Pinto;MDB;PA;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;625;Brasília - DF - CEP 70160-900;3215-5625;3215-2625;04;25;dep.hendersonpinto@camara.leg.br;Henderson Pinto;Exmo. Senhor Deputado;HENDERSON LIRA PINTO
Hercílio Coelho Diniz;MDB;MG;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;510;Brasília - DF - CEP 70160-900;3215-5510;3215-2510;09;14;dep.herciliocoelhodiniz@camara.leg.br;Hercilio Coelho Diniz;Exmo. Senhor Deputado;HERCÍLIO ARAÚJO DINIZ FILHO
Hugo Leal;PSD;RJ;T;Câmara dos Deputados, Edifício Anexo;3;, gabinete nº;886;Brasília - DF - CEP 70160-900;3215-5886;3215-2886;08;06;dep.hugoleal@camara.leg.br;Hugo Leal;Exmo. Senhor Deputado;HUGO LEAL MELO DA SILVA
Hugo Motta;REPUBLICANOS;PB;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;237;Brasília - DF - CEP 70160-900;3215-5237;3215-2237;09;11;dep.hugomotta@camara.leg.br;Hugo Motta;Exmo. Senhor Deputado;HUGO MOTTA WANDERLEY DA NÓBREGA
Icaro de Valmir;PL;SE;T;Câmara dos Deputados, Edifício Anexo;3;, gabinete nº;573;Brasília - DF - CEP 70160-900;3215-5573;3215-2573;04;10;dep.icarodevalmir@camara.leg.br;Icaro de Valmir;Exmo. Senhor Deputado;ICARO BARBOSA COSTA
Igor Timo;PSD;MG;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;726;Brasília - DF - CEP 70160-900;3215-5726;3215-2726;04;10;dep.igortimo@camara.leg.br;Igor Timo;Exmo. Senhor Deputado;IGOR TARCIANO TIMO
Ismael;PSD;SC;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;325;Brasília - DF - CEP 70160-900;3215-5325;3215-2325;07;16;dep.ismael@camara.leg.br;Ismael;Exmo. Senhor Deputado;ISMAEL DOS SANTOS
Ismael Alexandrino;PSD;GO;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;854;Brasília - DF - CEP 70160-900;3215-5854;3215-2854;07;26;dep.ismaelalexandrino@camara.leg.br;Ismael Alexandrino;Exmo. Senhor Deputado;ISMAEL ALEXANDRINO JUNIOR
Isnaldo Bulhões Jr.;MDB;AL;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;639;Brasília - DF - CEP 70160-900;3215-5639;3215-2639;10;30;dep.isnaldobulhoesjr@camara.leg.br;Isnaldo Bulhoes Jr.;Exmo. Senhor Deputado;ISNALDO BULHOES BARROS JUNIOR
Ivan Junior;UNIÃO;MA;S;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;222;Brasília - DF - CEP 70160-900;3215-5222;3215-2222;07;05;dep.ivanjunior@camara.leg.br;Ivan Junior;Exmo. Senhor Deputado;MAURO IVAN FARIAS DE SANTIAGO JUNIOR
Ivan Valente;PSOL;SP;S;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;230;Brasília - DF - CEP 70160-900;3215-5230;3215-2230;07;05;dep.ivanvalente@camara.leg.br;Ivan Valente;Exmo. Senhor Deputado;IVAN VALENTE
Ivoneide Caetano;PT;BA;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;224;Brasília - DF - CEP 70160-900;3215-5224;3215-2224;09;10;dep.ivoneidecaetano@camara.leg.br;Ivoneide Caetano;Exma. Senhora Deputada;IVONEIDE SOUZA CAETANO
Iza Arruda;MDB;PE;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;828;Brasília - DF - CEP 70160-900;3215-5828;3215-2828;09;06;dep.izaarruda@camara.leg.br;Iza Arruda;Exma. Senhora Deputada;IZA PAULA DE DEUS E MELLO ALBUQUERQUE ARRUDA
Jack Rocha;PT;ES;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;252;Brasília - DF - CEP 70160-900;3215-5252;3215-2252;08;26;dep.jackrocha@camara.leg.br;Jack Rocha;Exma. Senhora Deputada;JACKELINE OLIVEIRA ROCHA
Jadyel Alencar;REPUBLICANOS;PI;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;519;Brasília - DF - CEP 70160-900;3215-5519;3215-2519;07;23;dep.jadyelalencar@camara.leg.br;Jadyel Alencar;Exmo. Senhor Deputado;JADYEL SILVA ALENCAR
Jandira Feghali;PCdoB;RJ;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;622;Brasília - DF - CEP 70160-900;3215-5622;3215-2622;05;17;dep.jandirafeghali@camara.leg.br;Jandira Feghali;Exma. Senhora Deputada;JANDIRA FEGHALI
Jeferson Rodrigues;REPUBLICANOS;GO;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;725;Brasília - DF - CEP 70160-900;3215-5725;3215-2725;05;01;dep.jefersonrodrigues@camara.leg.br;Jeferson Rodrigues;Exmo. Senhor Deputado;JEFERSON RODRIGUES LEMOS
Jefferson Campos;PL;SP;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;346;Brasília - DF - CEP 70160-900;3215-5346;3215-2346;10;26;dep.jeffersoncampos@camara.leg.br;Jefferson Campos;Exmo. Senhor Deputado;JEFFERSON ALVES DE CAMPOS
Jilmar Tatto;PT;SP;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;548;Brasília - DF - CEP 70160-900;3215-5548;3215-2548;06;25;dep.jilmartatto@camara.leg.br;Jilmar Tatto;Exmo. Senhor Deputado;JILMAR AUGUSTINHO TATTO
João Carlos Bacelar;PL;BA;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;928;Brasília - DF - CEP 70160-900;3215-5928;3215-2928;10;08;dep.joaocarlosbacelar@camara.leg.br;Joao Carlos Bacelar;Exmo. Senhor Deputado;JOÃO CARLOS PAOLILO BACELAR FILHO
João Cury;MDB;SP;E;Câmara dos Deputados, Edifício Anexo;3;, gabinete nº;472;Brasília - DF - CEP 70160-900;3215-5472;3215-2472;10;22;dep.joaocury@camara.leg.br;Joao Cury;Exmo. Senhor Deputado;João Cury Neto
João Daniel;PT;SE;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;605;Brasília - DF - CEP 70160-900;3215-5605;3215-2605;08;22;dep.joaodaniel@camara.leg.br;Joao Daniel;Exmo. Senhor Deputado;JOAO SOMARIVA DANIEL
João Leão;PP;BA;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;320;Brasília - DF - CEP 70160-900;3215-5320;3215-2320;02;27;dep.joaoleao@camara.leg.br;Joao Leao;Exmo. Senhor Deputado;JOÃO FELIPE DE SOUZA LEÃO
João Maia;PP;RN;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;439;Brasília - DF - CEP 70160-900;3215-5439;3215-2439;09;20;dep.joaomaia@camara.leg.br;Joao Maia;Exmo. Senhor Deputado;JOÃO DA SILVA MAIA
Joaquim Passarinho;PL;PA;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;334;Brasília - DF - CEP 70160-900;3215-5334;3215-2334;12;02;dep.joaquimpassarinho@camara.leg.br;Joaquim Passarinho;Exmo. Senhor Deputado;JOAQUIM PASSARINHO PINTO DE SOUZA PORTO
Jonas Donizette;PSB;SP;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;716;Brasília - DF - CEP 70160-900;3215-5716;3215-2716;06;25;dep.jonasdonizette@camara.leg.br;Jonas Donizette;Exmo. Senhor Deputado;JONAS DONIZETTE FERREIRA
Jorge Braz;REPUBLICANOS;RJ;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;213;Brasília - DF - CEP 70160-900;3215-5213;3215-2213;07;13;dep.jorgebraz@camara.leg.br;Jorge Braz;Exmo. Senhor Deputado;JORGE BRAZ DE OLIVEIRA 
Jorge Goetten;REPUBLICANOS;SC;T;Câmara dos Deputados, Edifício Anexo;3;, gabinete nº;983;Brasília - DF - CEP 70160-900;3215-5983;3215-2983;04;10;dep.jorgegoetten@camara.leg.br;Jorge Goetten;Exmo. Senhor Deputado;JORGE GOETTEN DE LIMA
Jorge Solla;PT;BA;T;Câmara dos Deputados, Edifício Anexo;3;, gabinete nº;571;Brasília - DF - CEP 70160-900;3215-5571;3215-2571;04;11;dep.jorgesolla@camara.leg.br;Jorge Solla;Exmo. Senhor Deputado;JORGE JOSE SANTOS PEREIRA SOLLA
José Airton Félix Cirilo;PT;CE;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;319;Brasília - DF - CEP 70160-900;3215-5319;3215-2319;02;21;dep.joseairtonfelixcirilo@camara.leg.br;Jose Airton Felix Cirilo;Exmo. Senhor Deputado;JOSÉ AIRTON FÉLIX CIRILO DA SILVA
José Guimarães;PT;CE;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;306;Brasília - DF - CEP 70160-900;3215-5306;3215-2306;02;13;dep.joseguimaraes@camara.leg.br;Jose Guimaraes;Exmo. Senhor Deputado;JOSÉ NOBRE GUIMARÃES
José Medeiros;PL;MT;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;335;Brasília - DF - CEP 70160-900;3215-5335;3215-2335;03;19;dep.josemedeiros@camara.leg.br;Jose Medeiros;Exmo. Senhor Deputado;JOSE ANTONIO DOS SANTOS MEDEIROS
José Nelto;UNIÃO;GO;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;703;Brasília - DF - CEP 70160-900;3215-5703;3215-2703;09;19;dep.josenelto@camara.leg.br;Jose Nelto;Exmo. Senhor Deputado;JOSÉ NELTO LAGARES DAS MERCEZ
José Priante;MDB;PA;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;752;Brasília - DF - CEP 70160-900;3215-5752;3215-2752;12;02;dep.josepriante@camara.leg.br;Jose Priante;Exmo. Senhor Deputado;JOSÉ BENITO PRIANTE JÚNIOR
José Rocha;UNIÃO;BA;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;908;Brasília - DF - CEP 70160-900;3215-5908;3215-2908;08;18;dep.joserocha@camara.leg.br;Jose Rocha;Exmo. Senhor Deputado;JOSÉ ALVES ROCHA
Joseildo Ramos;PT;BA;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;728;Brasília - DF - CEP 70160-900;3215-5728;3215-2728;08;23;dep.joseildoramos@camara.leg.br;Joseildo Ramos;Exmo. Senhor Deputado;JOSEILDO RIBEIRO RAMOS
Josenildo;PDT;AP;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;645;Brasília - DF - CEP 70160-900;3215-5645;3215-2645;03;29;dep.josenildo@camara.leg.br;Josenildo;Exmo. Senhor Deputado;JOSENILDO SANTOS ABRANTES
Josias Gomes;PT;BA;S;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;305;Brasília - DF - CEP 70160-900;3215-5305;3215-2305;10;14;dep.josiasgomes@camara.leg.br;Josias Gomes;Exmo. Senhor Deputado;JOSIAS GOMES DA SILVA
Josimar Maranhãozinho;PL;MA;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;715;Brasília - DF - CEP 70160-900;3215-5715;3215-2715;11;13;dep.josimarmaranhaozinho@camara.leg.br;Josimar Maranhaozinho;Exmo. Senhor Deputado;JOSIMAR CUNHA RODRIGUES
Josivaldo JP;PSD;MA;T;Câmara dos Deputados, Edifício Anexo;3;, gabinete nº;778;Brasília - DF - CEP 70160-900;3215-5778;3215-2778;11;29;dep.josivaldojp@camara.leg.br;Josivaldo JP;Exmo. Senhor Deputado;JOSIVALDO DOS SANTOS MELO
Juarez Costa;MDB;MT;T;Câmara dos Deputados, Edifício Anexo;3;, gabinete nº;871;Brasília - DF - CEP 70160-900;3215-5871;3215-2871;01;20;dep.juarezcosta@camara.leg.br;Juarez Costa;Exmo. Senhor Deputado;JUAREZ ALVES DA COSTA
Julia Zanatta;PL;SC;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;448;Brasília - DF - CEP 70160-900;3215-5448;3215-2448;03;20;dep.juliazanatta@camara.leg.br;Julia Zanatta;Exma. Senhora Deputada;JULIA PEDROSO ZANATTA
Juliana Cardoso;PT;SP;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;411;Brasília - DF - CEP 70160-900;3215-5411;3215-2411;10;22;dep.julianacardoso@camara.leg.br;Juliana Cardoso;Exma. Senhora Deputada;JULIANA CARDOSO
Julio Arcoverde;PP;PI;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;729;Brasília - DF - CEP 70160-900;3215-5729;3215-2729;02;14;dep.julioarcoverde@camara.leg.br;Julio Arcoverde;Exmo. Senhor Deputado;JULIO FERRAZ ARCOVERDE
Júlio Cesar;PSD;PI;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;944;Brasília - DF - CEP 70160-900;3215-5944;3215-2944;08;25;dep.juliocesar@camara.leg.br;Julio Cesar;Exmo. Senhor Deputado;JÚLIO CÉSAR DE CARVALHO LIMA
Julio Cesar Ribeiro;REPUBLICANOS;DF;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;328;Brasília - DF - CEP 70160-900;3215-5328;3215-2328;02;24;dep.juliocesarribeiro@camara.leg.br;Julio Cesar Ribeiro;Exmo. Senhor Deputado;JULIO CESAR RIBEIRO
Julio Lopes;PP;RJ;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;428;Brasília - DF - CEP 70160-900;3215-5428;3215-2428;04;06;dep.juliolopes@camara.leg.br;Julio Lopes;Exmo. Senhor Deputado;JULIO LUIZ BAPTISTA LOPES
Juninho do Pneu;UNIÃO;RJ;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;641;Brasília - DF - CEP 70160-900;3215-5641;3215-2641;10;23;dep.juninhodopneu@camara.leg.br;Juninho do Pneu;Exmo. Senhor Deputado;ROGERIO TEIXEIRA JUNIOR
Junio Amaral;PL;MG;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;302;Brasília - DF - CEP 70160-900;3215-5302;3215-2302;06;30;dep.junioamaral@camara.leg.br;Junio Amaral;Exmo. Senhor Deputado;GERALDO JUNIO DO AMARAL
